,Group 1a,Group 1b,Group 1c,Group 1d,Group 1e,Group 1f,Group 2a,Group 2b,Group 2c,Group 2d,Group 2e,Group 2f,Group 3a,Group 3b,Group 3c,Group 3d,Group 3e,Group 3f
0,Looped back over the excess cable on the floor,Have to bend down to plug in,A place to put the trash that was on the floor,Chord requires too much up/down movement to unravel,"Vacuum angle is locked in position at the start, must use foot to unlock",Single-handed operation,"Potential mobility/dexterity difficulties, or just unfamiliarity with vacuum cleaners","Wire on the vacuum is difficult to wrap back up, because it is very long and must bend down to wrap it up",putting the cord back without tangling,Bottom of vacuum should be easier to put flush against ground,to be able to clean all locations on the floor without tripping hazards or major obstructions,A clearcut map of where to vacuum,More efficient way to unwrap and rewrap the cord on the vacuum,A way to use the vacuum without tripping over the cord,A vacuum cleaner with a more manageable power cord,"a way to be able to move obstructions other than small items on ground (table, boxes)",cord is secure as stored and does not come undone;,putting the cord back without tangling
1,Large furniture acting as a physical barrier - can it be moved to make the task easier?,a method for powering the vacuum cleaner or cleaning device,Non-marking or damaging to the surface,lightweight,Struggled to balance the vacuum cleaner upright when not held,Height adjustability,"User has to kneel in a non-ergonomic position to wrap vacuum cord, a better cord placement / storage system would be ideal",the vacuum head can articulate better for sharp corners or when working under tables/tight spaces;,to be able to clean objects off the floor,large capacity/ability to vacuum large space at once,Can move product around while using,"someway to store the cord that is just excess while moving around the vacuum, something retractable?",help moving large items off the floor to vacuum under them,"Nowhere to lock in the wire at the top of the vacuum, the use just flops the wire over the top of the vacuum handle",A less cluttered room to vacuum;,to be able to clean with relatively little torque on their wrist (i.e. not get into a wrist lock),more convenient methods for storing and setting up the device,Somewhere to place the different objects that she is picking up off the floor
2,Better storage system of chord,Special shoes that don't dirty the floor as you vacuum the floor,easier chord management system,Presumably minimize noise,to be able to clean with relatively little torque on their wrist (i.e. not get into a wrist lock),Should be able to pick up slightly larger objects,untangling the cord,quickly store cord after use,Easy to empty out the collection bin and reassemble,Chord requires too much up/down movement to unravel,ability to cover large area efficiently,to be able to clean larger areas for relatively less movement with their own body,"Too much overall rising and sinking that may put too much stress on lower back, so chord needs to be able to be wrapped faster and perhaps from a set y-height",Access hard-to-reach spaces,Kept the trigger held even when lifting the suction end over the cable;,Has place to wrap wires,easier way to plug vacuum into the wall,can reach under common furniture items
3,The room is very cluttered making it difficult for the user to navigate the space,somewhere to place the items picked up off the ground,Held onto larger items on the floor that blocked the vacuum cleaner,to clean the floor in as little time as possible;,Clean a space efficiently,to be able to control the movement of the device,Vacuum handle doesn't seem to give the user the best control on the vaccuum's direction;,easier way to plug vacuum into the wall,ergonomic cord storage (ie not uncomfortable to plug in cord or return to storage),"generally not having to support the vacuum when it is not in use (some way to ""park"" it);",Bottom of the vacuum will slide while the user tries to wrap the wire up,Special shoes that don't dirty the floor as you vacuum the floor,The table near the outlet needs to be removed,Large furniture acting as a physical barrier - can it be moved to make the task easier?,the vacuum head can articulate better for sharp corners or when working under tables/tight spaces;,Way to help the user identify dirty parts of the surface,"Tracking method for remembering which places have been vacuumed / need to be vacuumed again, versus places that are already clean",long cord reach/reach from power source if stationary
4,Lightweight;,cord stays out of way of vacuum and user,Have to bend down to clean larger objects like socks,Unwrapped the entire cable from the start,the vacuum head can articulate better for sharp corners or when working under tables/tight spaces;,Move potential larger blockages on the floor out of the way,help moving large items off the floor to vacuum under them,to pick up baseball sized objects off the floor,easy to lift up and reposition,easily maeurverable by hand,Held onto larger items on the floor that blocked the vacuum cleaner,A vacuum that has a distinct mode for hard floor surfaces,easily maeurverable by hand,"May need a light to illuminate dark spaces when vacuuming, such as under the table or behind a desk",Seems not too heavy to carry around;,Easier access to electrical outlet,Device stability while free standing,Clean a space efficiently
5,Stable storage (ie does not tip or roll),can reach under common furniture items,ability to cover large area efficiently,Storage space is very crowded making it hard for the user to access the outlet and the vacuum,Cord organization method while user is vacuuming so it does not become tangled or become another obstacle,Looks like it can easily fall based on the mass distribution within the vacuum,Way to efficiently organize and wrap vacuum cord,"The vacuum is very heavy at the top, making it harder to keep it stationary when unraveling or raveling the chords",cord does not collect dirt/dust during use,A mechanism to pick up all loose items/furniture from the floor before vacuuming,The large box by the door needs to be removed to vacuum that space;,cord can be easily secured at its end,"Vacuum angle is locked in position at the start, must use foot to unlock",user does not have to bend down during use,Vacuum head flops down during vacuuming when the vacuum gets picked up,Smaller / more agile vacuum head to reach tight spaces,Held onto larger items on the floor that blocked the vacuum cleaner,to have the device effectively maintain contact with the ground/ have continuous cleaning capabilities while in use
6,to differentially pick/clean waste that should not be thrown away and waste like dirt that needs to be thrown away at the end of cleaning,More efficient way to unwrap and rewrap the cord on the vacuum,"The vacuum does not stand on its own, the user has to prop / hold it up while wrapping the wire",removable bin to store small things you pick up off the floor that you can't vacuum up,to be able to reach all locations on the floor,"battery powered and corded, i.e. they can plug it in to charge it and use it at the same time, or they can disconnect the plug from the wall and use it battery powered",storage that is more geometrically fitting to the sides of the room to make the task of vacuuming easier,"Nowhere to lock in the wire at the top of the vacuum, the use just flops the wire over the top of the vacuum handle",Should be able to pick up slightly larger objects,"Vacuum does not turn super easily, user has to drag it in the direction they desire at certain points",a way to move objects on ground rather than picking them up to save effort,Clean a space efficiently,Can stand on its own,Should not get tangled with wires when in use,less need to pick the entire vacuum head up off the floor,A mechanism to pick up all loose items/furniture from the floor before vacuuming,some better way of making sure chord doesn't interfere with vacuum,Lightweight;
7,large range of motion from given user position (ie user can vacuum large area without moving),stabilize the vacuum while putting cord away,A clearcut map of where to vacuum,The product should be able to maneuver easily around and below furniture and objects on the floor,something to make more space when wrapping up the cord so that it is easier to get it all on the hooks and not have it keep falling off;,Or may need an height-adjustable vacuum instead for ease of movement;,"Tracking method for remembering which places have been vacuumed / need to be vacuumed again, versus places that are already clean",Non-marking or damaging to the surface,Has to fit in tight spaces while in use,A way to support or let vacuum free stand without human interaction,"a cleaner workspace, as the vacuuming could have been simplified much more",Wire on the vacuum is difficult to unravel,Cleans small objects,"someway to store the cord that is just excess while moving around the vacuum, something retractable?",A clearcut map of where to vacuum,more desk space to place socks picked up off the ground,Struggled to balance the vacuum cleaner upright when not held,A hair elastic so hair doesn't get in the way while vacuuming
8,Intuitive controls,Cord organization so user does not have to navigate around cord or pick up cord while using the vacuum,"a way so that when she is vacuuming, she doesn't have to drive the vacuum back into her body, as that gives her a small range of motion",height of components that user must interact with physically are comfortable,Help with holding up the vacuum on their own,More agile vacuum for better maneuverability in tighter turns;,"a way so that when she is vacuuming, she doesn't have to drive the vacuum back into her body, as that gives her a small range of motion",to be able to see the progress of cleaning;,Avoid getting tangled with the cord,to have the cleaning device take up as little space as possible when stored,Tool that cleans the floor,Have to bend down to plug in,Flexible (can fit in tight spaces),Bottom of vacuum should be easier to put flush against ground,A vacuum that has a distinct mode for hard floor surfaces,ideally will only need to use 1 hand in order to clean the floor,Way to efficiently organize and wrap vacuum cord,cord does not collect dirt/dust during use
9,cord is secure as stored and does not come undone;,Has place to wrap wires,slides/rolls easily (ie without a lot of user effort) on different flooring surfaces,ergonomic cord storage (ie not uncomfortable to plug in cord or return to storage),Power source to plug vacuum cord into,storage that is more geometrically fitting to the sides of the room to make the task of vacuuming easier,Help with holding up the vacuum on their own,Can adjust the product to fit what user intends to do,more convenient methods for storing and setting up the device,easier chord management system,Cable caught on the wheels,Large furniture acting as a physical barrier - can it be moved to make the task easier?,"There are lots of larger objects in the way during vacuuming, like bins and boxes",to stand/sit in a comfortable position while cleaning,Access to the entire room,easy to lift up and reposition,some way to make sure the cord does not get tangled as she is moving around,Better storage system of chord
