Need (Desk),Label,Need (vacuum),Label
Place for putting bags,part_1_desk_needs_exp,A vacuum cleaner with a more manageable power cord,part_1_vacuum_needs_exp
Not bothering other colleages,part_1_desk_needs_exp,A mechanism to pick up all loose items/furniture from the floor before vacuuming,part_1_vacuum_needs_exp
Lifting monitor comfortably,part_1_desk_needs_exp,A clearcut map of where to vacuum,part_1_vacuum_needs_exp
Untangling cords from itself,part_1_desk_needs_exp,A place to store all the objects the user picks up from the floor,part_1_vacuum_needs_exp
Untangling cords from other equipments,part_1_desk_needs_exp,A sightly place to store the vacuum cleaner when done vacuuming,part_1_vacuum_needs_exp
Routing cords around tables,part_1_desk_needs_exp,A vacuum that has a distinct mode for hard floor surfaces,part_1_vacuum_needs_exp
Findingwhere to plug in the cords,part_1_desk_needs_exp,Special shoes that don't dirty the floor as you vacuum the floor,part_1_vacuum_needs_exp
Possible backache?,part_1_desk_needs_exp,A hair elastic so hair doesn't get in the way while vacuuming,part_1_vacuum_needs_exp
Setting up a workspace to get to work comfortably as soon as possible,part_1_desk_needs_exp,Can move product around while using,part_1_vacuum_needs_exp
Learn how to operate the monitor,part_1_desk_needs_exp,Intuitive to understand and use,part_1_vacuum_needs_exp
Get an extra screen space to work effectively,part_1_desk_needs_exp,Can adjust the product to fit what user intends to do,part_1_vacuum_needs_exp
"Sitting in a comfortable position, ergonomically comfortable",part_1_desk_needs_exp,Flexible (can fit in tight spaces),part_1_vacuum_needs_exp
Trying to get the screen to work wihtouthassle,part_1_desk_needs_exp,Cleans small objects,part_1_vacuum_needs_exp
Setting up an office desk to get comfortable with their new workspace,part_1_desk_needs_exp,Has place to wrap wires,part_1_vacuum_needs_exp
Unpacking items to set up workspace quickly,part_1_desk_needs_exp,Can be stored easily in tight spaces,part_1_vacuum_needs_exp
Efficient packing of equipments from home/old workplace to the current one,part_1_desk_needs_exp,Can stand on its own,part_1_vacuum_needs_exp
Getting used to the new space physical & emotionally,part_1_desk_needs_exp,Seems not too heavy to carry around;,part_1_vacuum_needs_exp
Get everything to work together seamlessly without too much hassle,part_1_desk_needs_exp,retracting cord reel,part_1_vacuum_needs_exp
Getting desk clean vs making it easy to connect things together,part_1_desk_needs_exp,"battery powered and corded, i.e. they can plug it in to charge it and use it at the same time, or they can disconnect the plug from the wall and use it battery powered",part_1_vacuum_needs_exp
Needs for organization & tidiness of their equipments and documents,part_1_desk_needs_exp,removable bin to store small things you pick up off the floor that you can't vacuum up,part_1_vacuum_needs_exp
Potential needs for a larger workspace to accommodate when multiple physical documents are being used at once,part_1_desk_needs_exp,the vacuum head can articulate better for sharp corners or when working under tables/tight spaces;,part_1_vacuum_needs_exp
Getting comfortable with new colleagues,part_1_desk_needs_exp,easier chord management system,part_1_vacuum_needs_exp
Taking care of existing items that might needs to be moved away to accommodate their workspace (e.g. the blue buckets);,part_1_desk_needs_exp,wireless vacuum,part_1_vacuum_needs_exp
to find places to set up equipment,part_1_desk_needs_exp,basket attachment to place larger items instead of carrying them by hand,part_1_vacuum_needs_exp
help finding right buttons for their use,part_1_desk_needs_exp,Easier access to electrical outlet,part_1_vacuum_needs_exp
help setting up display on monitor,part_1_desk_needs_exp,More agile vacuum for better maneuverability in tighter turns;,part_1_vacuum_needs_exp
